Sat Feb  8 21:01:50 2020	 114.0	 0.00000	 3.43000	 -7.26000	 -0.83000	 0.40000	 -4.97000	 -2.19000	1	
Sat Feb  8 21:01:50 2020	 115.0	 0.00000	 3.44000	 -7.34000	 -1.16000	 -0.34000	 -4.79000	 -1.76000	1	
Sat Feb  8 21:01:50 2020	 116.0	 0.00000	 3.33000	 -7.26000	 -0.97000	 1.18000	 -5.84000	 -1.07000	1	
Sat Feb  8 21:01:50 2020	 117.0	 0.00000	 3.44000	 -7.37000	 -1.07000	 0.14000	 -4.04000	 -1.26000	1	
Sat Feb  8 21:01:51 2020	 118.0	 0.00000	 3.39000	 -7.26000	 -1.11000	 0.49000	 -4.10000	 -1.29000	1	
Sat Feb  8 21:01:51 2020	 119.0	 0.00000	 3.33000	 -7.21000	 -1.14000	 1.93000	 -5.97000	 -1.57000	1	
Sat Feb  8 21:01:51 2020	 120.0	 0.00000	 3.46000	 -7.27000	 -1.08000	 1.18000	 -4.52000	 -2.39000	1	
Sat Feb  8 21:01:51 2020	 121.0	 0.00000	 3.49000	 -7.38000	 -1.30000	 2.00000	 -5.92000	 -0.85000	1	
Sat Feb  8 21:01:52 2020	 122.0	 0.00000	 3.38000	 -7.27000	 -1.15000	 1.63000	 -4.33000	 -2.21000	1	
Sat Feb  8 21:01:52 2020	 123.0	 0.00000	 3.44000	 -7.24000	 -1.16000	 -0.01000	 -3.23000	 -0.64000	1	
Sat Feb  8 21:01:52 2020	 124.0	 0.00000	 3.49000	 -7.32000	 -1.23000	 1.11000	 -3.15000	 -0.47000	1	
Sat Feb  8 21:01:52 2020	 125.0	 0.00000	 3.40000	 -7.20000	 -1.42000	 2.35000	 -3.50000	 -1.21000	1	
Sat Feb  8 21:01:53 2020	 126.0	 0.00000	 3.44000	 -7.18000	 -1.23000	 2.60000	 -3.72000	 -1.56000	1	
Sat Feb  8 21:01:53 2020	 127.0	 0.00000	 3.53000	 -7.20000	 -1.40000	 0.61000	 -3.03000	 -0.97000	1	
Sat Feb  8 21:01:53 2020	 128.0	 0.00000	 3.49000	 -7.41000	 -1.27000	 2.44000	 -3.71000	 -0.44000	1	
Sat Feb  8 21:01:54 2020	 129.0	 0.00000	 3.44000	 -7.25000	 -1.27000	 1.38000	 -4.32000	 -1.80000	1	
Sat Feb  8 21:01:54 2020	 130.0	 0.00000	 3.40000	 -7.22000	 -1.28000	 1.48000	 -3.31000	 -2.15000	1	
Sat Feb  8 21:01:54 2020	 131.0	 0.00000	 3.46000	 -7.45000	 -1.23000	 1.12000	 -2.96000	 -0.73000	1	
Sat Feb  8 21:01:54 2020	 132.0	 0.00000	 3.44000	 -7.32000	 -1.34000	 2.02000	 -4.52000	 -1.41000	1	
Sat Feb  8 21:01:55 2020	 133.0	 0.00000	 3.49000	 -7.26000	 -1.29000	 0.18000	 -4.21000	 -2.51000	1	
Sat Feb  8 21:01:55 2020	 134.0	 0.00000	 3.41000	 -7.23000	 -1.41000	 2.19000	 -4.09000	 -1.20000	1	
Sat Feb  8 21:01:55 2020	 135.0	 0.00000	 3.46000	 -7.20000	 -1.46000	 1.09000	 -3.10000	 -1.41000	1	
Sat Feb  8 21:01:55 2020	 136.0	 0.00000	 3.58000	 -7.37000	 -1.22000	 1.02000	 -5.40000	 -3.26000	1	
Sat Feb  8 21:01:56 2020	 137.0	 0.00000	 3.42000	 -7.22000	 -1.29000	 1.20000	 -3.41000	 -0.18000	1	
Sat Feb  8 21:01:56 2020	 138.0	 0.00000	 3.48000	 -7.22000	 -1.29000	 1.88000	 -4.49000	 -0.50000	1	
Sat Feb  8 21:01:56 2020	 139.0	 0.00000	 3.40000	 -7.31000	 -1.20000	 1.89000	 -3.79000	 -1.05000	1	
Sat Feb  8 21:01:56 2020	 140.0	 0.00000	 3.43000	 -7.31000	 -1.30000	 0.07000	 -3.06000	 -1.71000	1	
Sat Feb  8 21:01:57 2020	 141.0	 0.00000	 3.54000	 -7.29000	 -1.15000	 2.66000	 -4.63000	 -3.48000	1	
Sat Feb  8 21:01:57 2020	 142.0	 0.00000	 3.43000	 -7.12000	 -1.37000	 -0.02000	 -1.92000	 0.00000	1	
Sat Feb  8 21:01:57 2020	 143.0	 0.00000	 3.50000	 -7.33000	 -1.29000	 1.04000	 -3.37000	 -1.55000	1	
Sat Feb  8 21:01:57 2020	 144.0	 0.00000	 3.48000	 -7.26000	 -1.36000	 3.55000	 -4.18000	 -0.44000	1	
Sat Feb  8 21:01:58 2020	 145.0	 0.00000	 3.47000	 -7.25000	 -1.29000	 1.13000	 -4.36000	 -2.37000	1	
Sat Feb  8 21:01:58 2020	 146.0	 0.00000	 3.32000	 -7.21000	 -1.32000	 2.04000	 -4.57000	 -0.47000	1	
Sat Feb  8 21:01:58 2020	 147.0	 0.00000	 3.46000	 -7.30000	 -1.25000	 0.76000	 -2.89000	 -1.45000	1	
Sat Feb  8 21:01:58 2020	 148.0	 0.00000	 3.46000	 -7.29000	 -1.28000	 2.44000	 -5.07000	 -0.76000	1	
Sat Feb  8 21:01:59 2020	 149.0	 0.00000	 3.45000	 -7.15000	 -1.26000	 1.85000	 -4.51000	 -1.13000	1	
Sat Feb  8 21:01:59 2020	 150.0	 0.00000	 3.43000	 -7.25000	 -1.32000	 1.08000	 -3.41000	 -1.20000	1	
Sat Feb  8 21:01:59 2020	 151.0	 0.00000	 3.40000	 -7.20000	 -1.28000	 1.41000	 -3.94000	 -1.28000	1	
Sat Feb  8 21:01:59 2020	 152.0	 0.00000	 3.37000	 -7.25000	 -1.32000	 1.07000	 -2.70000	 -0.95000	1	
Sat Feb  8 21:02:00 2020	 153.0	 0.00000	 3.45000	 -7.41000	 -1.46000	 1.38000	 -4.27000	 -0.91000	1	
Sat Feb  8 21:02:06 2020	 178.0	 0.00000	 4.36000	 6.72000	 -1.37000	 0.68000	 -3.24000	 -3.11000	2	
Sat Feb  8 21:02:06 2020	 179.0	 0.00000	 4.41000	 6.65000	 -1.29000	 2.25000	 -4.98000	 -0.35000	2	
Sat Feb  8 21:02:07 2020	 180.0	 0.00000	 4.34000	 6.74000	 -1.28000	 1.80000	 -3.50000	 -0.76000	2	
Sat Feb  8 21:02:07 2020	 181.0	 0.00000	 4.26000	 6.84000	 -1.27000	 0.38000	 -4.71000	 -0.74000	2	
Sat Feb  8 21:02:07 2020	 182.0	 0.00000	 4.13000	 6.82000	 -1.48000	 1.59000	 -1.61000	 -3.28000	2	
Sat Feb  8 21:02:08 2020	 183.0	 0.00000	 4.17000	 6.80000	 -1.23000	 2.16000	 0.66000	 -0.42000	2	
Sat Feb  8 21:02:08 2020	 184.0	 0.00000	 4.16000	 6.88000	 -1.25000	 13.56000	 5.99000	 1.36000	2	
Sat Feb  8 21:02:08 2020	 185.0	 0.00000	 4.42000	 6.58000	 -1.39000	 6.02000	 22.31000	 14.55000	2	
Sat Feb  8 21:02:08 2020	 186.0	 0.00000	 4.75000	 6.58000	 -1.43000	 0.13000	 -4.23000	 -3.31000	2	
Sat Feb  8 21:02:09 2020	 187.0	 0.00000	 4.93000	 6.46000	 -1.51000	 2.73000	 -2.93000	 0.44000	2	
Sat Feb  8 21:02:09 2020	 188.0	 0.00000	 4.54000	 6.54000	 -1.35000	 3.97000	 -3.98000	 -0.95000	2	
Sat Feb  8 21:02:09 2020	 189.0	 0.00000	 4.76000	 6.45000	 -1.43000	 3.84000	 -5.26000	 -2.52000	2	
Sat Feb  8 21:02:09 2020	 190.0	 0.00000	 4.64000	 6.49000	 -1.37000	 2.64000	 -6.43000	 -1.51000	2	
Sat Feb  8 21:02:10 2020	 191.0	 0.00000	 4.66000	 6.67000	 -1.55000	 2.40000	 -6.03000	 -4.14000	2	
Sat Feb  8 21:02:10 2020	 192.0	 0.00000	 4.63000	 6.64000	 -1.43000	 0.11000	 -3.50000	 -1.39000	2	
Sat Feb  8 21:02:10 2020	 193.0	 0.00000	 4.62000	 6.48000	 -1.51000	 1.87000	 -4.94000	 -1.14000	2	
Sat Feb  8 21:02:10 2020	 194.0	 0.00000	 4.66000	 6.58000	 -1.58000	 2.05000	 -4.49000	 -1.38000	2	
Sat Feb  8 21:02:11 2020	 195.0	 0.00000	 4.61000	 6.67000	 -1.70000	 2.46000	 -5.14000	 -2.52000	2	
Sat Feb  8 21:02:11 2020	 196.0	 0.00000	 4.58000	 6.62000	 -1.54000	 0.81000	 -4.41000	 -1.71000	2	
Sat Feb  8 21:02:11 2020	 197.0	 0.00000	 4.62000	 6.58000	 -1.65000	 0.81000	 -4.91000	 -2.50000	2	
Sat Feb  8 21:02:11 2020	 198.0	 0.00000	 4.46000	 6.59000	 -1.46000	 4.27000	 -4.86000	 0.16000	2	
Sat Feb  8 21:02:12 2020	 199.0	 0.00000	 4.46000	 6.54000	 -1.36000	 2.95000	 -1.02000	 -0.59000	2	
Sat Feb  8 21:02:12 2020	 200.0	 0.00000	 4.61000	 6.57000	 -1.71000	 2.58000	 -6.24000	 -2.37000	2	
Sat Feb  8 21:02:12 2020	 201.0	 0.00000	 4.50000	 6.67000	 -1.71000	 3.65000	 -0.41000	 -2.77000	2	
Sat Feb  8 21:02:12 2020	 202.0	 0.00000	 4.45000	 6.62000	 -1.55000	 1.33000	 -3.27000	 0.19000	2	
Sat Feb  8 21:02:13 2020	 203.0	 0.00000	 4.53000	 6.71000	 -1.25000	 -2.08000	 -0.17000	 -4.15000	2	
Sat Feb  8 21:02:13 2020	 204.0	 0.00000	 4.47000	 6.69000	 -1.41000	 1.58000	 -5.16000	 -0.05000	2	
Sat Feb  8 21:02:13 2020	 205.0	 0.00000	 4.48000	 6.69000	 -1.49000	 1.58000	 -5.60000	 -1.87000	2	
Sat Feb  8 21:02:13 2020	 206.0	 0.00000	 4.49000	 6.77000	 -1.53000	 3.10000	 -3.91000	 -2.82000	2	
Sat Feb  8 21:02:14 2020	 207.0	 0.00000	 4.48000	 6.67000	 -1.57000	 1.45000	 -4.85000	 -1.61000	2	
Sat Feb  8 21:02:14 2020	 208.0	 0.00000	 4.44000	 6.80000	 -1.60000	 1.72000	 -4.31000	 -0.64000	2	
Sat Feb  8 21:02:14 2020	 209.0	 0.00000	 4.46000	 6.65000	 -1.55000	 3.76000	 -4.25000	 -1.71000	2	
Sat Feb  8 21:02:15 2020	 210.0	 0.00000	 4.45000	 6.74000	 -1.60000	 1.93000	 -4.70000	 -2.46000	2	
Sat Feb  8 21:02:15 2020	 211.0	 0.00000	 4.37000	 6.66000	 -1.54000	 1.55000	 -3.63000	 -1.14000	2	
Sat Feb  8 21:02:15 2020	 212.0	 0.00000	 4.44000	 6.69000	 -1.65000	 4.75000	 -6.22000	 -4.06000	2	
Sat Feb  8 21:02:15 2020	 213.0	 0.00000	 4.35000	 6.72000	 -1.60000	 2.49000	 -5.51000	 -1.47000	2	
Sat Feb  8 21:02:16 2020	 214.0	 0.00000	 4.36000	 6.75000	 -1.69000	 1.94000	 -2.85000	 -2.06000	2	
Sat Feb  8 21:02:17 2020	 219.0	 0.00000	 4.43000	 6.71000	 -1.59000	 0.25000	 -4.06000	 -2.43000	2	
Sat Feb  8 21:02:17 2020	 220.0	 0.00000	 4.33000	 6.63000	 -1.59000	 2.91000	 -4.36000	 -0.79000	2	
Sat Feb  8 21:02:17 2020	 221.0	 0.00000	 4.34000	 6.76000	 -1.69000	 2.05000	 -3.89000	 -1.44000	2	
