Sat Mar 21 11:21:13 2020,	 129.0,	 0.00000,	 8.15000,	 0.20000,	 -0.87000,	 -1.73000,	 -4.77000,	 -2.14000,	0	
Sat Mar 21 11:21:14 2020,	 130.0,	 0.00000,	 8.14000,	 0.16000,	 -0.78000,	 -2.63000,	 -4.44000,	 -1.47000,	0	
Sat Mar 21 11:21:14 2020,	 131.0,	 0.00000,	 8.12000,	 0.22000,	 -0.85000,	 -2.38000,	 -4.66000,	 -1.11000,	0	
Sat Mar 21 11:21:14 2020,	 132.0,	 0.00000,	 8.18000,	 0.12000,	 -0.86000,	 -2.17000,	 -4.88000,	 -1.35000,	0	
Sat Mar 21 11:21:15 2020,	 133.0,	 0.00000,	 8.12000,	 0.18000,	 -0.92000,	 -2.47000,	 -4.15000,	 -1.08000,	0	
Sat Mar 21 11:21:15 2020,	 134.0,	 0.00000,	 8.16000,	 0.15000,	 -0.93000,	 -2.25000,	 -4.32000,	 -1.39000,	0	
Sat Mar 21 11:21:16 2020,	 135.0,	 0.00000,	 8.15000,	 0.17000,	 -0.93000,	 -2.08000,	 -4.86000,	 -1.35000,	0	
Sat Mar 21 11:21:16 2020,	 136.0,	 0.00000,	 8.12000,	 0.19000,	 -0.91000,	 -2.27000,	 -4.76000,	 -1.64000,	0	
Sat Mar 21 11:21:16 2020,	 137.0,	 0.00000,	 8.10000,	 0.18000,	 -0.91000,	 -2.30000,	 -4.16000,	 -1.34000,	0	
Sat Mar 21 11:21:17 2020,	 138.0,	 0.00000,	 8.12000,	 0.19000,	 -0.87000,	 -2.18000,	 -4.47000,	 -1.27000,	0	
Sat Mar 21 11:21:17 2020,	 139.0,	 0.00000,	 8.18000,	 0.16000,	 -0.88000,	 -2.27000,	 -4.68000,	 -1.37000,	0	
Sat Mar 21 11:21:18 2020,	 140.0,	 0.00000,	 8.15000,	 0.13000,	 -0.87000,	 -2.40000,	 -3.96000,	 -1.32000,	0	
Sat Mar 21 11:21:18 2020,	 141.0,	 0.00000,	 8.17000,	 0.14000,	 -0.95000,	 -2.13000,	 -4.53000,	 -0.82000,	0	
Sat Mar 21 11:21:19 2020,	 142.0,	 0.00000,	 8.10000,	 0.07000,	 -0.86000,	 -2.35000,	 -4.32000,	 -1.44000,	0	
Sat Mar 21 11:21:19 2020,	 143.0,	 0.00000,	 8.08000,	 0.14000,	 -0.83000,	 -2.50000,	 -4.07000,	 -1.51000,	0	
Sat Mar 21 11:21:19 2020,	 144.0,	 0.00000,	 8.14000,	 0.17000,	 -0.87000,	 -2.50000,	 -3.93000,	 -1.44000,	0	
Sat Mar 21 11:21:20 2020,	 145.0,	 0.00000,	 8.13000,	 0.14000,	 -0.90000,	 -1.93000,	 -4.64000,	 -1.30000,	0	
Sat Mar 21 11:21:20 2020,	 146.0,	 0.00000,	 8.12000,	 0.17000,	 -0.90000,	 -2.07000,	 -4.33000,	 -1.64000,	0	
Sat Mar 21 11:21:21 2020,	 147.0,	 0.00000,	 8.12000,	 0.12000,	 -0.88000,	 -2.09000,	 -4.53000,	 -1.20000,	0	
Sat Mar 21 11:21:21 2020,	 148.0,	 0.00000,	 8.16000,	 0.14000,	 -0.81000,	 -2.58000,	 -4.50000,	 -1.87000,	0	
Sat Mar 21 11:21:22 2020,	 149.0,	 0.00000,	 8.17000,	 0.09000,	 -0.88000,	 -2.40000,	 -4.06000,	 -1.39000,	0	
Sat Mar 21 11:21:28 2020,	 164.0,	 0.00000,	 0.18000,	 -7.80000,	 1.59000,	 -1.32000,	 -5.84000,	 -1.31000,	1	
Sat Mar 21 11:21:28 2020,	 165.0,	 0.00000,	 0.15000,	 -7.73000,	 1.60000,	 -2.28000,	 -5.55000,	 -1.36000,	1	
Sat Mar 21 11:21:29 2020,	 166.0,	 0.00000,	 0.14000,	 -7.80000,	 1.66000,	 -2.54000,	 -6.20000,	 -2.40000,	1	
