Thu Mar 19 15:01:36 2020,	 308.0,	 0.00000,	 8.11000,	 -1.18000,	 -0.90000,	 -1.94000,	 -9.56000,	 -1.77000,	0	
Thu Mar 19 15:01:36 2020,	 309.0,	 0.00000,	 8.02000,	 -1.29000,	 -1.12000,	 -1.43000,	 -5.18000,	 0.27000,	0	
Thu Mar 19 15:01:36 2020,	 310.0,	 0.00000,	 8.01000,	 -1.17000,	 -1.08000,	 0.21000,	 -8.51000,	 -4.79000,	0	
Thu Mar 19 15:01:37 2020,	 311.0,	 0.00000,	 8.10000,	 -1.04000,	 -1.05000,	 -2.44000,	 -4.01000,	 0.18000,	0	
Thu Mar 19 15:01:37 2020,	 312.0,	 0.00000,	 8.09000,	 -1.28000,	 -1.04000,	 -0.82000,	 -6.01000,	 -0.80000,	0	
Thu Mar 19 15:01:37 2020,	 313.0,	 0.00000,	 7.97000,	 -1.26000,	 -1.27000,	 -3.21000,	 -1.59000,	 2.18000,	0	
Thu Mar 19 15:01:37 2020,	 314.0,	 0.00000,	 7.98000,	 -1.17000,	 -1.29000,	 -5.11000,	 -8.90000,	 -8.09000,	0	
Thu Mar 19 15:01:37 2020,	 315.0,	 0.00000,	 8.02000,	 -0.92000,	 -1.40000,	 -2.02000,	 -6.63000,	 -2.04000,	0	
Thu Mar 19 15:01:38 2020,	 316.0,	 0.00000,	 7.99000,	 -1.07000,	 -1.16000,	 -0.88000,	 -6.93000,	 -1.07000,	0	
Thu Mar 19 15:01:38 2020,	 317.0,	 0.00000,	 8.08000,	 -0.85000,	 -1.39000,	 -0.79000,	 -10.29000,	 -6.22000,	0	
Thu Mar 19 15:01:38 2020,	 318.0,	 0.00000,	 8.18000,	 -0.97000,	 -1.37000,	 -2.54000,	 -7.15000,	 -1.55000,	0	
Thu Mar 19 15:01:38 2020,	 319.0,	 0.00000,	 8.03000,	 -1.01000,	 -1.25000,	 -3.22000,	 1.96000,	 5.27000,	0	
Thu Mar 19 15:01:39 2020,	 320.0,	 0.00000,	 8.10000,	 -1.28000,	 -1.25000,	 -2.05000,	 -6.69000,	 -3.13000,	0	
Thu Mar 19 15:01:39 2020,	 321.0,	 0.00000,	 8.13000,	 -1.02000,	 -1.32000,	 -3.64000,	 -5.24000,	 -8.43000,	0	
Thu Mar 19 15:01:39 2020,	 322.0,	 0.00000,	 8.00000,	 -0.81000,	 -1.40000,	 -2.50000,	 -1.69000,	 -3.29000,	0	
Thu Mar 19 15:01:39 2020,	 323.0,	 0.00000,	 8.18000,	 -0.79000,	 -1.32000,	 -2.80000,	 -3.53000,	 -3.54000,	0	
Thu Mar 19 15:01:39 2020,	 324.0,	 0.00000,	 8.13000,	 -0.77000,	 -1.32000,	 -1.97000,	 -5.31000,	 -2.37000,	0	
Thu Mar 19 15:01:40 2020,	 325.0,	 0.00000,	 8.06000,	 -0.71000,	 -1.43000,	 -1.08000,	 -8.08000,	 -5.15000,	0	
Thu Mar 19 15:01:40 2020,	 326.0,	 0.00000,	 8.09000,	 -0.44000,	 -1.56000,	 -1.31000,	 -6.56000,	 -3.13000,	0	
Thu Mar 19 15:01:40 2020,	 327.0,	 0.00000,	 8.12000,	 -0.47000,	 -1.63000,	 -1.44000,	 -3.33000,	 1.60000,	0	
Thu Mar 19 15:01:40 2020,	 328.0,	 0.00000,	 8.04000,	 -0.66000,	 -1.41000,	 -3.00000,	 -3.02000,	 1.43000,	0	
Thu Mar 19 15:01:40 2020,	 329.0,	 0.00000,	 8.05000,	 -0.65000,	 -1.49000,	 -1.35000,	 -7.02000,	 -5.62000,	0	
Thu Mar 19 15:01:41 2020,	 330.0,	 0.00000,	 8.14000,	 -0.60000,	 -1.48000,	 -2.68000,	 -4.95000,	 -2.82000,	0	
