Wed Mar 18 18:31:17 2020,	 57.0,	 0.00000,	 1.09000,	 7.90000,	 -1.47000,	 -4.43000,	 -3.88000,	 0.66000,	3	
Wed Mar 18 18:31:19 2020,	 58.0,	 0.00000,	 0.54000,	 7.96000,	 -1.37000,	 -1.37000,	 -1.72000,	 -6.53000,	3	
Wed Mar 18 18:31:22 2020,	 59.0,	 0.00000,	 0.32000,	 8.02000,	 -1.41000,	 -3.12000,	 -3.87000,	 -1.33000,	3	
Wed Mar 18 18:31:24 2020,	 60.0,	 0.00000,	 0.38000,	 8.01000,	 -1.24000,	 -2.34000,	 -4.53000,	 -0.56000,	3	
Wed Mar 18 18:31:26 2020,	 61.0,	 0.00000,	 0.39000,	 8.07000,	 -1.12000,	 -2.42000,	 -4.04000,	 -1.01000,	3	
Wed Mar 18 18:31:28 2020,	 62.0,	 0.00000,	 0.42000,	 8.03000,	 -0.97000,	 -3.55000,	 -4.47000,	 -0.40000,	3	
Wed Mar 18 18:31:40 2020,	 68.0,	 0.00000,	 6.36000,	 0.37000,	 4.63000,	 -2.18000,	 -4.44000,	 -0.92000,	4	
Wed Mar 18 18:31:42 2020,	 69.0,	 0.00000,	 6.25000,	 0.32000,	 4.62000,	 -2.65000,	 -3.12000,	 -0.73000,	4	
Wed Mar 18 18:31:44 2020,	 70.0,	 0.00000,	 6.16000,	 0.32000,	 4.94000,	 -2.08000,	 -4.24000,	 -1.80000,	4	
Wed Mar 18 18:31:46 2020,	 71.0,	 0.00000,	 6.12000,	 0.36000,	 4.76000,	 -2.32000,	 -3.77000,	 -1.60000,	4	
Wed Mar 18 18:31:48 2020,	 72.0,	 0.00000,	 6.09000,	 0.29000,	 4.98000,	 -2.63000,	 -4.55000,	 -1.64000,	4	
Wed Mar 18 18:31:50 2020,	 73.0,	 0.00000,	 6.05000,	 0.24000,	 5.00000,	 -2.40000,	 -4.94000,	 -0.79000,	4	
Wed Mar 18 18:31:52 2020,	 74.0,	 0.00000,	 6.04000,	 0.28000,	 4.90000,	 -2.18000,	 -4.32000,	 -1.59000,	4	
Wed Mar 18 18:31:54 2020,	 75.0,	 0.00000,	 6.06000,	 0.23000,	 5.01000,	 -2.14000,	 -4.08000,	 -1.25000,	4	
Wed Mar 18 18:31:56 2020,	 76.0,	 0.00000,	 5.96000,	 0.23000,	 4.95000,	 -2.40000,	 -4.12000,	 -0.89000,	4	
Wed Mar 18 18:31:58 2020,	 77.0,	 0.00000,	 5.97000,	 0.28000,	 4.99000,	 -2.50000,	 -5.03000,	 -0.95000,	4	
Wed Mar 18 18:32:00 2020,	 78.0,	 0.00000,	 5.95000,	 0.25000,	 5.03000,	 -2.15000,	 -3.79000,	 -1.29000,	4	
Wed Mar 18 18:32:02 2020,	 79.0,	 0.00000,	 5.93000,	 0.27000,	 5.09000,	 -2.03000,	 -3.81000,	 -1.54000,	4	
Wed Mar 18 18:32:04 2020,	 80.0,	 0.00000,	 5.96000,	 0.18000,	 5.07000,	 -2.88000,	 -5.19000,	 -0.93000,	4	
Wed Mar 18 18:32:14 2020,	 85.0,	 0.00000,	 3.54000,	 -1.48000,	 -7.87000,	 -1.60000,	 -3.88000,	 -1.12000,	5	
Wed Mar 18 18:32:16 2020,	 86.0,	 0.00000,	 3.59000,	 -1.38000,	 -7.84000,	 -1.90000,	 -3.41000,	 -1.23000,	5	
