Fri Mar 20 22:41:26 2020,	 103.0,	 0.00000,	 8.10000,	 -0.23000,	 -0.15000,	 -2.17000,	 -5.34000,	 -1.93000,	0	
Fri Mar 20 22:41:26 2020,	 104.0,	 0.00000,	 8.22000,	 -0.14000,	 -0.11000,	 -2.65000,	 -4.63000,	 -1.05000,	0	
Fri Mar 20 22:41:26 2020,	 105.0,	 0.00000,	 8.17000,	 -0.17000,	 -0.15000,	 -1.79000,	 -4.76000,	 -1.04000,	0	
Fri Mar 20 22:41:26 2020,	 106.0,	 0.00000,	 8.16000,	 -0.21000,	 -0.16000,	 -1.93000,	 -4.56000,	 -1.36000,	0	
Fri Mar 20 22:41:27 2020,	 107.0,	 0.00000,	 8.13000,	 -0.18000,	 -0.09000,	 -1.86000,	 -4.63000,	 -1.76000,	0	
Fri Mar 20 22:41:27 2020,	 108.0,	 0.00000,	 8.15000,	 -0.24000,	 -0.01000,	 -2.63000,	 -3.21000,	 -1.57000,	0	
Fri Mar 20 22:41:27 2020,	 109.0,	 0.00000,	 8.11000,	 -0.22000,	 -0.15000,	 -2.16000,	 -5.02000,	 -1.26000,	0	
Fri Mar 20 22:41:27 2020,	 110.0,	 0.00000,	 8.14000,	 -0.24000,	 -0.10000,	 -2.34000,	 -3.99000,	 -0.80000,	0	
Fri Mar 20 22:41:28 2020,	 111.0,	 0.00000,	 8.17000,	 -0.28000,	 -0.10000,	 -3.34000,	 -3.05000,	 -0.47000,	0	
Fri Mar 20 22:41:28 2020,	 112.0,	 0.00000,	 8.16000,	 -0.21000,	 -0.10000,	 -2.17000,	 -4.66000,	 -1.31000,	0	
Fri Mar 20 22:41:28 2020,	 113.0,	 0.00000,	 8.14000,	 -0.17000,	 -0.06000,	 -2.79000,	 -3.89000,	 -1.57000,	0	
Fri Mar 20 22:41:28 2020,	 114.0,	 0.00000,	 8.17000,	 -0.15000,	 -0.05000,	 -2.08000,	 -4.59000,	 -1.49000,	0	
Fri Mar 20 22:41:29 2020,	 115.0,	 0.00000,	 8.15000,	 -0.21000,	 -0.09000,	 -2.02000,	 -4.27000,	 -1.39000,	0	
Fri Mar 20 22:41:29 2020,	 116.0,	 0.00000,	 8.15000,	 -0.21000,	 -0.08000,	 -2.47000,	 -4.53000,	 -1.54000,	0	
Fri Mar 20 22:41:29 2020,	 117.0,	 0.00000,	 8.11000,	 -0.16000,	 -0.14000,	 -2.50000,	 -3.51000,	 -1.63000,	0	
Fri Mar 20 22:41:29 2020,	 118.0,	 0.00000,	 8.11000,	 -0.19000,	 0.04000,	 -2.18000,	 -4.62000,	 -1.59000,	0	
Fri Mar 20 22:41:29 2020,	 119.0,	 0.00000,	 8.16000,	 -0.12000,	 -0.08000,	 -2.78000,	 -4.41000,	 -1.08000,	0	
Fri Mar 20 22:41:29 2020,	 120.0,	 0.00000,	 8.18000,	 -0.23000,	 0.04000,	 -1.34000,	 -4.74000,	 -1.89000,	0	
Fri Mar 20 22:41:30 2020,	 121.0,	 0.00000,	 8.16000,	 -0.26000,	 -0.05000,	 -2.31000,	 -4.38000,	 -1.69000,	0	
Fri Mar 20 22:41:30 2020,	 122.0,	 0.00000,	 8.08000,	 -0.21000,	 -0.09000,	 -1.95000,	 -4.86000,	 -1.85000,	0	
Fri Mar 20 22:41:30 2020,	 123.0,	 0.00000,	 8.13000,	 -0.25000,	 0.05000,	 -2.54000,	 -4.32000,	 -1.62000,	0	
Fri Mar 20 22:41:30 2020,	 124.0,	 0.00000,	 8.19000,	 -0.25000,	 0.03000,	 -1.92000,	 -5.42000,	 -1.32000,	0	
Fri Mar 20 22:41:31 2020,	 125.0,	 0.00000,	 8.16000,	 -0.21000,	 0.06000,	 -2.34000,	 -3.81000,	 -1.21000,	0	
Fri Mar 20 22:41:31 2020,	 126.0,	 0.00000,	 7.99000,	 -0.34000,	 -0.02000,	 -2.23000,	 -3.80000,	 -0.79000,	0	
Fri Mar 20 22:41:31 2020,	 127.0,	 0.00000,	 8.00000,	 -0.27000,	 -0.02000,	 -2.15000,	 -5.04000,	 -1.73000,	0	
Fri Mar 20 22:41:31 2020,	 128.0,	 0.00000,	 8.11000,	 -0.30000,	 0.04000,	 -1.96000,	 -4.76000,	 -0.67000,	0	
Fri Mar 20 22:41:31 2020,	 129.0,	 0.00000,	 8.18000,	 -0.25000,	 -0.01000,	 -2.27000,	 -4.94000,	 -1.05000,	0	
Fri Mar 20 22:41:32 2020,	 130.0,	 0.00000,	 8.16000,	 -0.22000,	 -0.06000,	 -2.05000,	 -5.08000,	 -1.46000,	0	
Fri Mar 20 22:41:32 2020,	 131.0,	 0.00000,	 8.11000,	 -0.27000,	 -0.06000,	 -2.78000,	 -4.02000,	 -1.47000,	0	
Fri Mar 20 22:41:32 2020,	 132.0,	 0.00000,	 8.07000,	 -0.27000,	 -0.11000,	 -3.42000,	 -4.36000,	 -1.53000,	0	
Fri Mar 20 22:41:32 2020,	 133.0,	 0.00000,	 8.16000,	 -0.18000,	 -0.05000,	 -2.51000,	 -4.29000,	 -0.69000,	0	
Fri Mar 20 22:41:33 2020,	 134.0,	 0.00000,	 8.15000,	 -0.28000,	 -0.06000,	 -2.18000,	 -3.89000,	 -1.11000,	0	
Fri Mar 20 22:41:33 2020,	 135.0,	 0.00000,	 8.19000,	 -0.22000,	 -0.02000,	 -2.76000,	 -4.16000,	 -1.64000,	0	
Fri Mar 20 22:41:33 2020,	 136.0,	 0.00000,	 8.20000,	 -0.20000,	 -0.03000,	 -2.40000,	 -4.87000,	 -1.08000,	0	
Fri Mar 20 22:41:33 2020,	 137.0,	 0.00000,	 8.14000,	 -0.23000,	 -0.05000,	 -2.79000,	 -3.98000,	 -1.22000,	0	
Fri Mar 20 22:41:33 2020,	 138.0,	 0.00000,	 8.13000,	 -0.23000,	 -0.07000,	 -2.37000,	 -4.19000,	 -1.12000,	0	
Fri Mar 20 22:41:34 2020,	 140.0,	 0.00000,	 8.20000,	 -0.16000,	 -0.10000,	 -2.31000,	 -4.49000,	 -1.24000,	0	
Fri Mar 20 22:41:34 2020,	 141.0,	 0.00000,	 8.13000,	 -0.20000,	 -0.16000,	 -2.05000,	 -4.03000,	 -1.08000,	0	
Fri Mar 20 22:41:34 2020,	 142.0,	 0.00000,	 8.13000,	 -0.19000,	 0.04000,	 -2.76000,	 -3.64000,	 -2.08000,	0	
Fri Mar 20 22:41:34 2020,	 143.0,	 0.00000,	 8.15000,	 -0.17000,	 -0.09000,	 -2.44000,	 -4.62000,	 -1.90000,	0	
Fri Mar 20 22:41:35 2020,	 144.0,	 0.00000,	 8.14000,	 -0.19000,	 -0.09000,	 -2.71000,	 -3.95000,	 -1.22000,	0	
